originalid,originaltraitname,originaltraitdef,standardisedtraitname,standardisedtraitdef,originaltraitvalue,originaltraitunit,originalerrorpos,originalerrorneg,originalerrorunit,standardisedtraitvalue,standardisedtraitunit,interactor1,interactor1stage,interactor1sex,interactor1temp,interactor1tempunit,interactor1growthtemp,interactor1growthtempunit,interactor1acctemp,interactor1acctempunit,interactor1acctempnotes,interactor1acctime,interactor1acctimeunit,interactor1acctimenotes,coordinatetype,latitude,longitude,figuretable,interactor1size,interactor1sizeunit,interactor1sizetype,citation,doi,notes,submittedby,contributoremail,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,3.85,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,9.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0156,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,5.7,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,9.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0153,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,4.47,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,9.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.015,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,3.9,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,9.2,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.016,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,5.03,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,12.6,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0156,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,9.35,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,12.6,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0153,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,7.78,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,12.6,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.015,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,4.95,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,12.6,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.016,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,10.6,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,21.5,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0156,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,15.8,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,21.5,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.0153,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,13.9,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,21.5,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.015,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
GT819,metabolic rate (active),mean oxygen consumption rate,,,10.4,mm^3 O2 min-1 g body weight-1,,,,,,Amara quenseli,,,21.5,Celsius,6,Celsius,,,,,,,decimal,79,11.666667,table 1,0.016,g,mean wet mass,Stromme et al. 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Research 4,10.3402/polar.v4i2.6932,growth temp given as average. growth temp range: 5 to 7 degrees Celsius. It is not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,0.749,ml O2 g-1 h-1,0.046,0.046,se,,,Antrops truncipennis,adult,,2,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,0.767,ml O2 g-1 h-1,0.028,0.028,se,,,Antrops truncipennis,adult,,5,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,1.204,ml O2 g-1 h-1,0.069,0.069,se,,,Antrops truncipennis,adult,,10,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,1.333,ml O2 g-1 h-1,0.116,0.116,se,,,Antrops truncipennis,adult,,15,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,2.911,ml O2 g-1 h-1,0.137,0.137,se,,,Antrops truncipennis,adult,,20,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
KT9071,metabolic rate,mean oxygen uptake rate,,,4.137,ml O2 g-1 h-1,0.248,0.248,se,,,Antrops truncipennis,adult,,25,Celsius,ambient outdoor temp,,,,,,,,decimal,46.54,37.45,table 1,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
PHX177,body size,mean wet mass,,,2.21,mg,,,,,,Antrops truncipennis,,,,,,,,,,,,,decimal,46.54,37.45,appendix 1b,,,,Chown 1997. Thermal sensitivity of oxygen uptake of Diptera from sub-Antarctic South Georgia and Marion Island. Polar Biol 17:1,10.1007/s003000050108,not stated whether metabolic rates are standard (resting) or active,Paul Huxley,phuxley@vt.edu,,,,
TS9,metabolic rate (resting),mean O2 consumption rate,,,64,uL O2 g-1 h-1,9.2,9.2,se,,,Anurogryllus arboreus,adult,male,10,Celsius,,,,,,,,,decimal,29.7,-82.4,table 2,0.377,g,mean wet mass,Prestwich and Walker. 1981. Energetics of singing in crickets: Effect of temperature in three trilling species (Orthoptera: Gryllidae). Journal of comparative physiology. 143,10.1007/BF00797699,resting rate of metabolism measured instead of standard metabolism,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS9,metabolic rate (resting),mean O2 consumption rate,,,197,uL O2 g-1 h-1,12,12,se,,,Anurogryllus arboreus,adult,male,15,Celsius,,,,,,,,,decimal,29.7,-82.4,table 2,0.377,g,mean wet mass,Prestwich and Walker. 1981. Energetics of singing in crickets: Effect of temperature in three trilling species (Orthoptera: Gryllidae). Journal of comparative physiology. 143,10.1007/BF00797699,resting rate of metabolism measured instead of standard metabolism,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS9,metabolic rate (resting),mean O2 consumption rate,,,236,uL O2 g-1 h-1,11.9,11.9,se,,,Anurogryllus arboreus,adult,male,20,Celsius,,,,,,,,,decimal,29.7,-82.4,table 2,0.377,g,mean wet mass,Prestwich and Walker. 1981. Energetics of singing in crickets: Effect of temperature in three trilling species (Orthoptera: Gryllidae). Journal of comparative physiology. 143,10.1007/BF00797699,resting rate of metabolism measured instead of standard metabolism,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS9,metabolic rate (resting),mean O2 consumption rate,,,378,uL O2 g-1 h-1,15.3,15.3,se,,,Anurogryllus arboreus,adult,male,25,Celsius,,,,,,,,,decimal,29.7,-82.4,table 2,0.377,g,mean wet mass,Prestwich and Walker. 1981. Energetics of singing in crickets: Effect of temperature in three trilling species (Orthoptera: Gryllidae). Journal of comparative physiology. 143,10.1007/BF00797699,resting rate of metabolism measured instead of standard metabolism,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS9,metabolic rate (resting),mean O2 consumption rate,,,486,uL O2 g-1 h-1,16.4,16.4,se,,,Anurogryllus arboreus,adult,male,30,Celsius,,,,,,,,,decimal,29.7,-82.4,table 2,0.377,g,mean wet mass,Prestwich and Walker. 1981. Energetics of singing in crickets: Effect of temperature in three trilling species (Orthoptera: Gryllidae). Journal of comparative physiology. 143,10.1007/BF00797699,resting rate of metabolism measured instead of standard metabolism,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS11e,metabolic rate (active),mean specific respiratory rate,,,0.1,uL O2 mg dry wt-1 h-1,0.02,0.02,sd,,,Aphaenogaster cockerelli,adult (worker),female,5,Celsius,,,,,no acclimation. natural nest temperature maintained,,,,decimal,32.2,-110.9,table 1,4.72,mg,mean dry mass,Nielsen. 1986. Respiratory rates of ants from different climatic areas. Journal of Insect Physiology. 32:2,10.1016/0022-1910(86)90131-9,text seems to suggest that metabolic rates were measured when individuals were active,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS11e,metabolic rate (active),mean specific respiratory rate,,,0.63,uL O2 mg dry wt-1 h-1,0.23,0.23,sd,,,Aphaenogaster cockerelli,adult (worker),female,15,Celsius,,,,,no acclimation. natural nest temperature maintained,,,,decimal,32.2,-110.9,table 1,4.72,mg,mean dry mass,Nielsen. 1986. Respiratory rates of ants from different climatic areas. Journal of Insect Physiology. 32:2,10.1016/0022-1910(86)90131-9,text seems to suggest that metabolic rates were measured when individuals were active,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS11e,metabolic rate (active),mean specific respiratory rate,,,3.1,uL O2 mg dry wt-1 h-1,0.86,0.86,sd,,,Aphaenogaster cockerelli,adult (worker),female,25,Celsius,,,,,no acclimation. natural nest temperature maintained,,,,decimal,32.2,-110.9,table 1,4.72,mg,mean dry mass,Nielsen. 1986. Respiratory rates of ants from different climatic areas. Journal of Insect Physiology. 32:2,10.1016/0022-1910(86)90131-9,text seems to suggest that metabolic rates were measured when individuals were active,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
TS11e,metabolic rate (active),mean specific respiratory rate,,,4.19,uL O2 mg dry wt-1 h-1,0.68,0.68,sd,,,Aphaenogaster cockerelli,adult (worker),female,35,Celsius,,,,,no acclimation. natural nest temperature maintained,,,,decimal,32.2,-110.9,table 1,4.72,mg,mean dry mass,Nielsen. 1986. Respiratory rates of ants from different climatic areas. Journal of Insect Physiology. 32:2,10.1016/0022-1910(86)90131-9,text seems to suggest that metabolic rates were measured when individuals were active,Tianle Shao,tianle.shao20@imperial.ac.uk,,,,
HB27,metabolic rate (resting),mean specific heat production rate,,,3.2639,mW g-1,,,,,,Apis mellifera carnica,,,20,Celsius,,,,,,,,,decimal,52.52,13.405,figures 4 and 7,100,mg,mean wet mass,Schmolz et al. 2002. Calorimetric investigations on metabolic rates and thermoregulation of sleeping honeybees (Apis mellifera carnica). Thermochimica Acta 382 ,10.1016/S0040-6031(01)00740-7,sleeping bees,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
HB27,metabolic rate (resting),mean specific heat production rate,,,5.0104,mW g-1,,,,,,Apis mellifera carnica,,,25,Celsius,,,,,,,,,decimal,52.52,13.405,figures 4 and 7,100,mg,mean wet mass,Schmolz et al. 2002. Calorimetric investigations on metabolic rates and thermoregulation of sleeping honeybees (Apis mellifera carnica). Thermochimica Acta 382 ,10.1016/S0040-6031(01)00740-7,sleeping bees,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
HB27,metabolic rate (resting),mean specific heat production rate,,,11.6959,mW g-1,,,,,,Apis mellifera carnica,,,30,Celsius,,,,,,,,,decimal,52.52,13.405,figures 4 and 7,100,mg,mean wet mass,Schmolz et al. 2002. Calorimetric investigations on metabolic rates and thermoregulation of sleeping honeybees (Apis mellifera carnica). Thermochimica Acta 382 ,10.1016/S0040-6031(01)00740-7,sleeping bees,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
HB27,metabolic rate (resting),mean specific heat production rate,,,16.0716,mW g-1,,,,,,Apis mellifera carnica,,,35,Celsius,,,,,,,,,decimal,52.52,13.405,figures 4 and 7,100,mg,mean wet mass,Schmolz et al. 2002. Calorimetric investigations on metabolic rates and thermoregulation of sleeping honeybees (Apis mellifera carnica). Thermochimica Acta 382 ,10.1016/S0040-6031(01)00740-7,sleeping bees,Kate Griffin,kate.griffin21@imperial.ac.uk,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.060869565,uL O2 mg wet mass-1 h-1,0.019565217,0.019565217,sd,,,Atta laevigata,adult (worker),,5,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.067391304,uL O2 mg wet mass-1 h-1,0.019565217,0.019565217,sd,,,Atta laevigata,adult (worker),,10,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.119565217,uL O2 mg wet mass-1 h-1,0.091304348,0.091304348,sd,,,Atta laevigata,adult (worker),,15,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.223913043,uL O2 mg wet mass-1 h-1,0.065217391,0.065217391,sd,,,Atta laevigata,adult (worker),,20,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.413043478,uL O2 mg wet mass-1 h-1,0.086956522,0.086956522,sd,,,Atta laevigata,adult (worker),,25,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.569565217,uL O2 mg wet mass-1 h-1,0.182608696,0.182608696,sd,,,Atta laevigata,adult (worker),,30,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL1,metabolic rate,mean respiration rate,,,0.87173913,uL O2 mg wet mass-1 h-1,0.2,0.2,sd,,,Atta laevigata,adult (worker),,35,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 1,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA. not stated whether individuals were active or inactive during trait measurements,Paul Huxley,phuxley@vt.edu,,,,
PHXL11,metabolic rate,mean respiration rate,,,0.091718427,uL O2 mg wet mass-1 h-1,0.01863354,0.01863354,sd,,,Atta sexdens rubropilosa,adult (worker),,5,Celsius,,,,,,,,,decimal,-22.410833,-47.560833,figure 2,15,mg,mean wet mass,Beraldo and Mendes 1982. The influence of temperature on oxygen consumption rates of workers of two leaf cutting ants Atta laevigata (F. Smith 1858) and Atta sexdens rubropilosa (Forel 1908). Comparative Biochemistry and Physiology Part A: Physiology 71:3,10.1016/0300-9629(82)90428-5,individual wet mass ranged between 10 and 20 mg. field collected prior to lab experiment so interactor1growthtemp is NA,Paul Huxley,phuxley@vt.edu,,,,
